Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1956,F,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1982,F,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1983,F,YAKIMA,WA,98908,OUT-OF-STATE,D,VALID,FULL,2031
1991,F,CHENEY,WA,99004,OUT-OF-STATE,D,VALID,FULL,2024
1987,M,SEATAC,WA,98198,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1950,M,BELLEVUE,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1997,M,TACOMA,WA,98443,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,F,DUPONT,WA,98327,OUT-OF-STATE,D,SUSPENDED,FULL,2026
1992,F,SEATTLE,WA,98105,OUT-OF-STATE,D,VALID,FULL,2024
2004,F,SEATTLE,WA,98133,OUT-OF-STATE,D,VALID,FULL,2025
1992,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1958,M,SPOKANE,WA,99202,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1998,M,SEATTLE,WA,98122,OUT-OF-STATE,D,VALID,FULL,2024
1989,F,OLYMPIA,WA,98502,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1985,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1973,M,SEATTLE,WA,98118,OUT-OF-STATE,E,SURRENDERED,FULL,2024
1995,F,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,BELLINGHAM,WA,98229,OUT-OF-STATE,D,VALID,FULL,2027
1992,M,GRAPEVIEW,WA,98546,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1954,M,VANCOUVER,WA,98665,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1996,M,SEATTLE,WA,98102,OUT-OF-STATE,D,VALID,FULL,2024
1994,F,VANCOUVER,WA,98661,OUT-OF-STATE,D,VALID,FULL,2024
1997,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,VALID,FULL,2024
1999,F,VANCOUVER,WA,98662,OUT-OF-STATE,ID ONLY,,,2029
1980,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1999,F,COSMOPOLIS,WA,98537,OUT-OF-STATE,D PERMIT,VALID,FULL,2026
1990,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,M,AIRWAY HEIGHTS,WA,99001,OUT-OF-STATE,D,VALID,FULL,2025
1990,M,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,M,VANCOUVER,WA,98684,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1989,M,PORT TOWNSEND,WA,98368,OUT-OF-STATE,DM,SURRENDERED,FULL,2024
1996,M,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,F,WASHOUGAL,WA,98671,OUT-OF-STATE,D,VALID,FULL,2025
1971,F,VANCOUVER,WA,98663,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,M,ISSAQUAH,WA,98027,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2000,F,SEATTLE,WA,98126,OUT-OF-STATE,D,VALID,FULL,2027
1978,M,SEATTLE,WA,98103,OUT-OF-STATE,D,VALID,FULL,2028
1972,M,SPANAWAY,WA,98387,OUT-OF-STATE,D,VALID,FULL,2027
1995,M,BOTHELL,WA,98012,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1992,M,POULSBO,WA,98370,OUT-OF-STATE,D,VALID,FULL,2029
1995,F,CARNATION,WA,98014,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1962,M,GIG HARBOR,WA,98332,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,VALID,FULL,2028
1995,M,KENMORE,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1980,M,REDMOND,WA,98052,OUT-OF-STATE,D,VALID,FULL,2024
1997,F,BELLINGHAM,WA,98226,OUT-OF-STATE,D,VALID,FULL,2025
1988,F,OAK HARBOR,WA,98277,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1994,M,SEATTLE,WA,98101,OUT-OF-STATE,D,VALID,FULL,2025
1994,M,SEATTLE,WA,98121,OUT-OF-STATE,D PERMIT,VALID,FULL,2025
1978,M,OAK HARBOR,WA,98277,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1995,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1997,M,JBLM,WA,98433,OUT-OF-STATE,D,VALID,FULL,2026
1990,M,ELMA,WA,98541,OUT-OF-STATE,A,SURRENDERED,FULL,2024
1952,M,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1995,M,BOTHELL,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,M,SEATTLE,WA,98109,OUT-OF-STATE,D,VALID,FULL,2026
1999,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1955,F,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,VALID,FULL,2025
1994,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,VALID,FULL,2031
1979,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1982,M,SEATTLE,WA,98106,OUT-OF-STATE,ID ONLY,,,2027
1997,M,SEATTLE,WA,98144,OUT-OF-STATE,D PERMIT,VALID,FULL,2025
1996,F,BREMERTON,WA,98312,OUT-OF-STATE,D,VALID,FULL,2025
1976,F,OROVILLE,WA,98844,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1995,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,VALID,FULL,2024
1979,M,OLYMPIA,WA,98512,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1977,M,SEATTLE,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1991,F,LEAVENWORTH,WA,98826,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1988,F,BURIEN,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1969,M,PUYALLUP,WA,98373,OUT-OF-STATE,D,VALID,FULL,2030
1963,M,FEDERAL WAY,WA,98003,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2026
1995,M,SEATTLE,WA,98136,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1993,F,SEATTLE,WA,98121,OUT-OF-STATE,D,VALID,FULL,2024
1987,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
2004,M,VANCOUVER,WA,98685,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1972,M,PORT ORCHARD,WA,98367,OUT-OF-STATE,ID ONLY,,,2025
1995,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1966,M,NEWCASTLE,WA,98056,OUT-OF-STATE,D,VALID,FULL,2028
1982,F,ANACORTES,WA,98221,OUT-OF-STATE,D,VALID,FULL,2028
1971,M,DUPONT,WA,98327,OUT-OF-STATE,D,SURRENDERED,FULL,2030
1950,F,AUBURN,WA,98002,OUT-OF-STATE,ID ONLY,,,2025
1990,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,F,SEATTLE,WA,98116,OUT-OF-STATE,ID ONLY,,,2024
1989,F,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2002,F,SEATTLE,WA,98106,OUT-OF-STATE,D PERMIT,VALID,FULL,2025
1989,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1993,M,KIRKLAND,WA,98034,OUT-OF-STATE,ID ONLY,,,2024
1976,M,TACOMA,WA,98407,OUT-OF-STATE,D,VALID,FULL,2026
1985,M,LYNNWOOD,WA,98036,OUT-OF-STATE,D,VALID,FULL,2024
1986,F,TACOMA,WA,98433,OUT-OF-STATE,D,VALID,FULL,2025
1996,M,DUPONT,WA,98327,OUT-OF-STATE,D,VALID,FULL,2024
1967,F,TACOMA,WA,98408,OUT-OF-STATE,ID ONLY,,,2025
1999,F,TACOMA,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1996,M,SEATTLE,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,M,SEATTLE,WA,98118,OUT-OF-STATE,ID ONLY,,,2024
1989,F,SEATTLE,WA,98112,OUT-OF-STATE,ID ONLY,,,2025
1980,F,MUKILTEO,WA,98275,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1992,F,SEATTLE,WA,98107,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2026
1990,F,LYNNWOOD,WA,98037,OUT-OF-STATE,D,VALID,FULL,2024
1987,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1983,M,AUBURN,WA,98001,OUT-OF-STATE,D,VALID,FULL,2027
1987,M,SEATTLE,WA,98116,OUT-OF-STATE,D,SUSPENDED,FULL,2024
1975,M,MONROE,WA,98272,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1986,F,SHORELINE,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1990,M,ISSAQUAH,WA,98029,OUT-OF-STATE,D,VALID,FULL,2028
1988,F,POULSBO,WA,98370,OUT-OF-STATE,D,VALID,FULL,2025
1984,M,YAKIMA,WA,98902,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1947,M,TACOMA,WA,98465,OUT-OF-STATE,ID ONLY,,,2024
1968,M,EDMONDS,WA,98026,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1998,F,REDMOND,WA,98052,OUT-OF-STATE,D,VALID,FULL,2030
1959,F,ROY,WA,98580,OUT-OF-STATE,D,VALID,FULL,2026
1973,F,PUYALLUP,WA,98374,OUT-OF-STATE,D,VALID,FULL,2029
1968,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1987,M,SEATTLE,WA,98125,OUT-OF-STATE,D,VALID,FULL,2025
1991,F,REDMOND,WA,98053,OUT-OF-STATE,D PERMIT,VALID,FULL,2026
1978,M,MERCER ISLAND,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1995,M,FRIDAY HARBOR,WA,98250,OUT-OF-STATE,D,SURRENDERED,FULL,2024
2006,M,VALLEY,WA,99181,OUT-OF-STATE,DM,VALID,FULL,2029
1994,M,LYNNWOOD,WA,98087,OUT-OF-STATE,D,VALID,FULL,2025
1994,F,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1980,F,LONG BEACH,WA,98631,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1976,M,SPOKANE,WA,99201,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1951,F,BREMERTON,WA,98312,OUT-OF-STATE,D,VALID,FULL,2024
1969,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,VALID,FULL,2026
1986,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1999,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1994,F,TACOMA,WA,98402,OUT-OF-STATE,D,SURRENDERED,FULL,2031
1994,M,TACOMA,WA,98444,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1996,F,SPOKANE,WA,99207,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1982,F,SEATTLE,WA,98104,OUT-OF-STATE,D,VALID,FULL,2026
1985,F,ISSAQUAH,WA,98027,OUT-OF-STATE,D,VALID,FULL,2025
1976,M,RICHLAND,WA,99352,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1987,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1988,M,LACEY,WA,98516,OUT-OF-STATE,DM,VALID,FULL,2026
1942,F,SAMMAMISH,WA,98075,OUT-OF-STATE,B,SURRENDERED,FULL,2027
1982,M,FEDERAL WAY,WA,98023,OUT-OF-STATE,A,SURRENDERED,FULL,2024
1986,F,TACOMA,WA,98407,OUT-OF-STATE,DM,SUSPENDED,FULL,2028
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1948,M,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1983,M,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,VALID,FULL,2028
1980,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1993,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1988,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SUSPENDED,FULL,2025
1997,M,BELLEVUE,WA,98005,OUT-OF-STATE,D PERMIT,VALID,FULL,2027
1982,M,SEATTLE,WA,98199,OUT-OF-STATE,D,VALID,FULL,2028
1982,M,DUPONT,WA,98327,OUT-OF-STATE,D,VALID,FULL,2027
1993,M,BELLEVUE,WA,98006,OUT-OF-STATE,D,VALID,FULL,2029
1957,F,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1991,M,HOQUIAM,WA,98550,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1975,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1965,F,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1990,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SUSPENDED,FULL,2028
1984,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1996,M,SPANAWAY,WA,98387,OUT-OF-STATE,D,VALID,FULL,2030
1969,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1958,F,SEATTLE,WA,98101,OUT-OF-STATE,D,VALID,FULL,2028
1987,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1981,F,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1987,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SUSPENDED,FULL,2025
1993,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,VALID,FULL,2028
1990,F,SEATTLE,WA,98101,OUT-OF-STATE,D,VALID,FULL,2024
1983,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1990,F,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1992,F,SEATTLE,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1994,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1983,F,BELLEVUE,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,M,RICHLAND,WA,99354,OUT-OF-STATE,ID ONLY,,,2029
1994,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2031
1962,M,SEATTLE,WA,98115,OUT-OF-STATE,ID ONLY,,,2024
1987,F,NORMANDY PARK,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1995,F,SEATTLE,WA,98109,OUT-OF-STATE,D,VALID,FULL,2025
1971,M,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1994,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1963,M,DES MOINES,WA,98198,OUT-OF-STATE,D,VALID,FULL,2029
1963,F,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1983,F,LAKEWOOD,WA,98498,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1999,M,OAK HARBOR,WA,98277,OUT-OF-STATE,D,VALID,FULL,2028
1991,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1962,M,CHEWELAH,WA,99109,OUT-OF-STATE,D,VALID,FULL,2028
1986,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SUSPENDED,FULL,2026
1984,M,BELLEVUE,WA,98006,OUT-OF-STATE,D,VALID,FULL,2028
1979,F,SEATTLE,WA,98103,OUT-OF-STATE,D,VALID,FULL,2029
1983,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1976,M,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1979,M,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1968,M,SPOKANE,WA,99202,OUT-OF-STATE,D,VALID,FULL,2025
1961,M,SPOKANE,WA,99205,OUT-OF-STATE,D,VALID,FULL,2027
1995,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1980,M,WENATCHEE,WA,98801,OUT-OF-STATE,D,VALID,FULL,2029
1968,M,BELLINGHAM,WA,98225,OUT-OF-STATE,DM,SURRENDERED,FULL,2030
1972,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1974,F,RENTON,WA,98058,OUT-OF-STATE,D,VALID,FULL,2026
1978,M,FIFE,WA,98424,OUT-OF-STATE,D,VALID,FULL,2028
1997,F,LACEY,WA,98503,OUT-OF-STATE,D,VALID,FULL,2026
1993,F,LIBERTY LAKE,WA,99019,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1978,F,WOODINVILLE,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2029
1990,M,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1981,F,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,VALID,FULL,2025
1980,M,SEATTLE,WA,98109,OUT-OF-STATE,D,VALID,FULL,2026
1991,F,LYNNWOOD,WA,98036,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1962,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1984,M,EVERETT,WA,98201,OUT-OF-STATE,D,VALID,FULL,2030
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029
2001,F,BELLINGHAM,WA,98226,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025
1999,M,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,VALID,FULL,2024
1999,M,LAKEWOOD,WA,98499,OUT-OF-STATE,D,VALID,FULL,2028
1992,F,SEATTLE,WA,98199,OUT-OF-STATE,D,VALID,FULL,2030
1987,M,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1990,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,M,REDMOND,WA,98053,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1973,M,SILVERDALE,WA,98383,OUT-OF-STATE,DM,VALID,FULL,2029
1996,M,TACOMA,WA,98409,OUT-OF-STATE,D,VALID,FULL,2031
2001,F,LACEY,WA,98503,OUT-OF-STATE,D,VALID,FULL,2025
1989,M,TACOMA,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1951,M,SPOKANE VALLEY,WA,99037,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1993,F,SEATTLE,WA,98118,OUT-OF-STATE,ID ONLY,,,2028
1969,M,SEATTLE,WA,98177,OUT-OF-STATE,DM,SURRENDERED,FULL,2026
1980,M,SEATTLE,WA,98178,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1983,M,OAK HARBOR,WA,98277,OUT-OF-STATE,D,VALID,FULL,2027
1950,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,VALID,FULL,2029
1996,F,SPANAWAY,WA,98387,OUT-OF-STATE,ID ONLY,,,2026
1980,M,MCCHORD AFB,WA,98439,OUT-OF-STATE,D,SURRENDERED,FULL,2025
1985,M,SEATTLE,WA,98102,OUT-OF-STATE,DM,SURRENDERED,FULL,2028
1996,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2024
1990,M,SEATTLE,WA,98126,OUT-OF-STATE,D,SUSPENDED,FULL,2027
1973,M,RENTON,WA,98058,OUT-OF-STATE,D,VALID,FULL,2027
1996,F,EVERETT,WA,98201,OUT-OF-STATE,D,VALID,FULL,2025
1944,F,LACEY,WA,98516,OUT-OF-STATE,D,VALID,FULL,2026
1995,F,OLYMPIA,WA,98513,OUT-OF-STATE,ID ONLY,,,2025
1969,F,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1996,F,BELLEVUE,WA,98007,OUT-OF-STATE,ID ONLY,,,2026
1996,F,KENT,WA,98031,OUT-OF-STATE,D,SURRENDERED,FULL,2028
1986,M,DUPONT,WA,98327,OUT-OF-STATE,D,VALID,FULL,2031
1975,M,AIRWAY HGTS,WA,99001,OUT-OF-STATE,D,SURRENDERED,FULL,2027
1991,F,SAMMAMISH,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2026
1978,M,PORT ANGELES,WA,98363,OUT-OF-STATE,D,SURRENDERED,FULL,2025
