Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1990,F,RENTON,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1997,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,F,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1991,M,VANCOUVER,WA,98663,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1985,F,VANCOUVER,WA,98686,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1994,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,F,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1991,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1960,M,OLYMPIA,WA,98501,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1993,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1953,F,SPOKANE,WA,99205,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1985,M,LYNNWOOD,WA,98037,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1976,M,SHORELINE,WA,98155,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,M,BONNEY LAKE,WA,98391,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1994,M,SEATTLE,WA,98104,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1976,F,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1999,M,JOINT BASE LEWIS MCCHORD,WA,98438,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1972,M,TACOMA,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1988,M,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1971,M,ISSAQUAH,WA,98027,OUT-OF-STATE,DM,SURRENDERED,FULL,2025,2017,2024
1989,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,M,SELAH,WA,98942,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1953,M,BAINBRIDGE ISLAND,WA,98110,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1965,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1987,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
2001,M,COLLEGE PLACE,WA,99324,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2026,2018,2025
1984,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1982,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1984,F,BREMERTON,WA,98310,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1984,F,FERNDALE,WA,98248,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1977,F,BOTHELL,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,M,TACOMA,WA,98409,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1991,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,PUYALLUP,WA,98374,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1975,F,OAK HARBOR,WA,98277,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1980,F,TACOMA,WA,98405,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,M,BELLEVUE,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1988,M,SEATTLE,WA,98103,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2026,2018,2025
1996,F,SULTAN,WA,98294,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1972,F,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,F,MOUNT VERNON,WA,98273,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1993,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,M,KENNEWICK,WA,99338,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1973,F,OLYMPIA,WA,98506,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1961,M,YELM,WA,98597,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1996,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1986,F,SEATTLE,WA,98121,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1975,M,SEATTLE,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1948,M,MERCER ISLAND,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1999,M,SILVERDALE,WA,98383,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1986,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1986,M,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1997,F,MILL CREEK,WA,98012,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1986,F,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1978,M,BUCKLEY,WA,98321,OUT-OF-STATE,A,SURRENDERED,FULL,2025,2017,2024
1990,M,VANCOUVER,WA,98683,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,F,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2031,2023,2030
1985,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1949,F,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1999,F,EVERETT,WA,98208,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1968,M,SEATTLE,WA,98121,OUT-OF-STATE,E,SURRENDERED,FULL,2028,2020,2027
1963,M,REDMOND,WA,98053,OUT-OF-STATE,B,SURRENDERED,FULL,2029,2021,2028
1939,M,LONGVIEW,WA,98632,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1984,M,MCCHORD AFB,WA,98439,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1984,M,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,M,VANCOUVER,WA,98683,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,M,KENMORE,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,F,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1979,F,MERCER ISLAND,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1981,M,NORTH BEND,WA,98045,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1983,M,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1934,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1982,M,MAPLE VALLEY,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1945,M,OCEAN SHORES,WA,98569,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,F,BELLINGHAM,WA,98225,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1978,F,RIDGEFIELD,WA,98642,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1993,F,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1991,M,SAMMAMISH,WA,98074,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1980,F,BURIEN,WA,98146,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1980,M,KIRKLAND,WA,98034,OUT-OF-STATE,DM,SURRENDERED,FULL,2030,2022,2029
1955,F,TACOMA,WA,98418,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1974,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1994,F,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1989,M,FEDERAL WAY,WA,98003,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1982,F,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1979,F,VANCOUVER,WA,98682,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1975,F,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1938,F,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1973,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1990,F,ISSAQUAH,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1979,M,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,M,SEATTLE,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1981,M,PUYALLUP,WA,98374,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1979,F,KENNEWICK,WA,99338,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1992,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1944,M,KENT,WA,98032,OUT-OF-STATE,E,SURRENDERED,FULL,2028,2020,2027
1982,M,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1987,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1996,F,KENMORE,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1990,F,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1988,F,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1994,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1985,F,BREMERTON,WA,98312,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1973,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1951,F,REDMOND,WA,98053,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,BOTHELL,WA,98012,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1984,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1994,F,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1977,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1937,M,RIDGEFIELD,WA,98642,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1985,M,CAMANO ISLAND,WA,98282,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1974,M,FEDERAL WAY,WA,98003,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1996,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,F,LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1967,F,AUBURN,WA,98092,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1980,F,MORTON,WA,98356,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,F,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1978,M,LAKEWOOD,WA,98439,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1978,M,CLYDE HILL,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1999,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1983,F,OLYMPIA,WA,98502,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1993,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,SHORELINE,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1997,M,ELLENSBURG,WA,98926,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1980,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1981,M,SPANAWAY,WA,98387,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
2000,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1977,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,VANCOUVER,WA,98663,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1982,M,MERCER ISLAND,WA,98040,OUT-OF-STATE,E,SURRENDERED,FULL,2026,2018,2025
1990,M,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1997,M,WALLA WALLA,WA,99362,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,M,RIDGEFIELD,WA,98642,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1989,M,COUPEVILLE,WA,98239,OUT-OF-STATE,DM,SURRENDERED,FULL,2025,2017,2024
1996,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1992,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,ISSAQUAH,WA,98027,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1984,M,KENT,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1992,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1993,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1970,F,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1987,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1952,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1979,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,FERNDALE,WA,98248,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1996,M,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1973,M,REDMOND,WA,98052,OUT-OF-STATE,DM,SURRENDERED,FULL,2029,2021,2028
1990,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1985,M,SEATTLE,WA,98103,OUT-OF-STATE,E,SURRENDERED,FULL,2025,2017,2024
1994,M,BELLEVUE,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1994,F,EDMONDS,WA,98026,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1979,M,CASTLE ROCK,WA,98611,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1992,M,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1977,M,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1972,M,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1967,M,TUMWATER,WA,98501,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1958,F,RENTON,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1982,M,SEATTLE,WA,98104,OUT-OF-STATE,DM,SURRENDERED,FULL,2028,2020,2027
1987,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1990,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1939,F,SEQUIM,WA,98382,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1978,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1984,F,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1952,M,REDMOND,WA,98053,OUT-OF-STATE,E,SURRENDERED,FULL,2028,2020,2027
2000,F,DUVALL,WA,98019,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1993,M,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1988,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1987,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1984,M,LAKEWOOD,WA,98499,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1989,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1974,F,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1955,F,AUBURN,WA,98001,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1989,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1965,M,CAMAS,WA,98607,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1972,M,BUCKLEY,WA,98321,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1989,F,RICHLAND,WA,99352,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1974,F,SEATTLE,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1991,M,WOODINVILLE,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1995,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,M,BELLEVUE,WA,98005,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1987,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1972,F,KENT,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1955,M,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,PORT ANGELES,WA,98363,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1982,M,KENNEWICK,WA,99338,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1996,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1985,F,EVERETT,WA,98208,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1989,F,FERNDALE,WA,98248,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1987,M,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1965,M,AUBURN,WA,98092,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1983,F,YAKIMA,WA,98908,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,VANCOUVER,WA,98683,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1979,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
