Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1985,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1980,M,BREMERTON,WA,98310,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1998,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1971,M,GIG HARBOR,WA,98335,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1963,M,BELLINGHAM,WA,98229,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1999,M,SEATTLE,WA,98133,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1987,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1986,F,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1987,F,PORT TOWNSEND,WA,98368,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,F,SEATTLE,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1984,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,SEATTLE,WA,98107,OUT-OF-STATE,DM,SURRENDERED,FULL,2027,2019,2026
1969,M,SPOKANE,WA,99217,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1991,F,BAINBRIDGE ISLAND,WA,98110,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1960,M,SEATTLE,WA,98108,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1985,M,BELLEVUE,WA,98008,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1982,F,TACOMA,WA,98444,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1982,F,RICHLAND,WA,99352,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1997,M,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,F,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1983,F,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,F,MERCER ISLAND,WA,98040,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1979,M,SNOQUALMIE,WA,98065,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1991,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,M,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1980,M,LACEY,WA,98503,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,M,BELLEVUE,WA,98006,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1994,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1968,F,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1966,M,ALGONA,WA,98001,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,F,PORT ANGELES,WA,98362,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1970,M,KENT,WA,98030,OUT-OF-STATE,B,SURRENDERED,FULL,2025,2017,2024
1988,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1994,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1953,M,LAKE STEVENS,WA,98258,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1952,F,PORT TOWNSEND,WA,98368,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1991,M,SEATTLE,WA,98199,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2024,2016,2023
1981,F,BOTHELL,WA,98021,OUT-OF-STATE,EM,SURRENDERED,FULL,2026,2018,2025
1987,M,SNOHOMISH,WA,98290,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1982,F,OLYMPIA,WA,98501,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1988,F,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1978,F,SOUTH CLE ELUM,WA,98943,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1985,M,SPOKANE,WA,99217,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1953,F,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1970,F,FEDERAL WAY,WA,98023,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1991,F,SEATTLE,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1997,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1996,F,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,F,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1973,M,STANWOOD,WA,98292,OUT-OF-STATE,B,SURRENDERED,FULL,2028,2020,2027
1999,F,PULLMAN,WA,99163,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1995,F,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1991,F,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1987,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1995,M,BELLINGHAM,WA,98226,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1969,F,SNOQUALMIE,WA,98065,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1993,F,RENTON,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1984,M,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1989,M,SEATTLE,WA,98107,OUT-OF-STATE,DM,SURRENDERED,FULL,2024,2016,2023
1986,F,SPOKANE,WA,99223,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1957,F,POINT ROBERTS,WA,98281,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1987,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1975,M,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1998,F,ANACORTES,WA,98221,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1987,F,SEATTLE,WA,98104,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1977,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
2000,M,SEATTLE,WA,98102,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1989,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1981,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,M,KENT,WA,98031,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1999,F,RENTON,WA,98055,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1956,F,OLYMPIA,WA,98502,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1994,M,LACEY,WA,98503,OUT-OF-STATE,B,SURRENDERED,FULL,2028,2020,2027
1943,F,RIDGEFIELD,WA,98642,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1996,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1973,F,TACOMA,WA,98406,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1972,F,KENT,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,M,SPOKANE VALLEY,WA,99206,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1983,F,ZILLAH,WA,98953,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1951,M,BELLINGHAM,WA,98226,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1986,M,TACOMA,WA,98444,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1992,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1962,M,VANCOUVER,WA,98682,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,BELLEVUE,WA,98006,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1996,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1943,F,TACOMA,WA,98407,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1951,F,NORMANDY PARK,WA,98166,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1983,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1982,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1988,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1996,F,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1997,M,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1963,F,SEQUIM,WA,98382,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1974,M,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,F,SEATTLE,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1987,M,COVINGTON,WA,98042,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1958,M,RENTON,WA,98058,OUT-OF-STATE,DM,SURRENDERED,FULL,2028,2020,2027
1998,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1992,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1993,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1960,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1998,F,TACOMA,WA,98402,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1984,F,POULSBO,WA,98370,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1998,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1982,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1997,F,OAK HARBOR,WA,98277,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1986,M,SEATTLE,WA,98106,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1955,F,SPOKANE,WA,99208,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1985,M,SEATTLE,WA,98144,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1979,M,SEATTLE,WA,98108,OUT-OF-STATE,E,SURRENDERED,FULL,2027,2019,2026
1981,F,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1951,F,GIG HARBOR,WA,98332,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1978,M,SAMMAMISH,WA,98075,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1983,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1988,M,SPOKANE,WA,99201,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1987,M,SEATTLE,WA,98119,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1992,M,TACOMA,WA,98407,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1994,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1989,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1991,M,SEATTLE,WA,98116,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1984,M,SPOKANE,WA,99202,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1994,M,SEATTLE,WA,98107,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,F,BONNEY LAKE,WA,98391,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1968,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1989,M,RICHLAND,WA,99354,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1990,F,BELLINGHAM,WA,98229,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1939,M,KENT,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1994,F,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1992,M,BOTHELL,WA,98011,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1996,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1983,M,ISSAQUAH,WA,98029,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1952,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1993,F,DUPONT,WA,98327,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1999,M,SEATTLE,WA,98101,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1989,M,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1967,M,KENT,WA,98030,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1998,M,KENMORE,WA,98028,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1995,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1995,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1978,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1985,M,NEWCASTLE,WA,98056,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1987,F,TACOMA,WA,98405,OUT-OF-STATE,D,SURRENDERED,NONE,2027,2019,2026
1995,F,AUBURN,WA,98002,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1994,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1986,F,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1984,M,EVERETT,WA,98201,OUT-OF-STATE,DM,SURRENDERED,FULL,2029,2021,2028
1969,M,FEDERAL WAY,WA,98003,OUT-OF-STATE,DM,SURRENDERED,FULL,2028,2020,2027
1976,M,VANCOUVER,WA,98682,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1961,M,VANCOUVER,WA,98686,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1995,M,BONNEY LAKE,WA,98391,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1990,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1985,M,LYNNWOOD,WA,98037,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1990,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1967,M,MAPLE VALLEY,WA,98038,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1979,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1991,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1986,M,SEATTLE,WA,98108,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1962,F,YELM,WA,98597,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1998,M,SEATTLE,WA,98105,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1982,M,SEATTLE,WA,98112,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1969,M,LACEY,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1991,F,SEATTLE,WA,98168,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1982,F,RAINIER,WA,98576,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1984,F,VANCOUVER,WA,98683,OUT-OF-STATE,DM,SURRENDERED,FULL,2026,2018,2025
1998,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1993,F,EVERETT,WA,98204,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1981,M,SEATTLE,WA,98118,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1996,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,LAKE FOREST PARK,WA,98155,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1985,M,DUPONT,WA,98327,OUT-OF-STATE,E,SURRENDERED,FULL,2026,2018,2025
1938,F,NORTH BEND,WA,98045,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1991,M,WOODINVILLE,WA,98072,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1987,M,UNIVERSITY PLACE,WA,98466,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1984,M,SEATTLE,WA,98199,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
2000,F,RENTON,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1943,M,SEATTLE,WA,98126,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,F,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2024,2016,2023
1996,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D PERMIT,SURRENDERED,FULL,2025,2017,2024
1986,M,REDMOND,WA,98052,OUT-OF-STATE,E,SURRENDERED,FULL,2029,2021,2028
1965,M,TONASKET,WA,98855,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1978,M,OLYMPIA,WA,98501,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1984,M,OLYMPIA,WA,98501,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1977,M,SNOHOMISH,WA,98290,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1976,F,YELM,WA,98597,OUT-OF-STATE,DM,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1989,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1965,F,RAYMOND,WA,98577,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,RENTON,WA,98058,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1953,M,VANCOUVER,WA,98683,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1978,F,PUYALLUP,WA,98374,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1958,F,VANCOUVER,WA,98665,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1990,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2030,2022,2029
1943,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1981,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1990,M,KIRKLAND,WA,98034,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1997,F,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1961,F,VANCOUVER,WA,98682,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1989,M,BURIEN,WA,98148,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1984,F,LYNNWOOD,WA,98087,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1999,F,SEATTLE,WA,98117,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,M,BOTHELL,WA,98021,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1976,F,PORT ORCHARD,WA,98367,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1988,M,SEATTLE,WA,98109,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1993,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
